;Code;Group_ID;Group;Question_ID;QuestionType;Question;ShortQuestion;Answers
0;id;0;Metadata;0;;Antwort ID;Antwort ID;
1;submitdate;0;Metadata;1;;Datum Abgeschickt;Datum Abgeschickt;
2;lastpage;0;Metadata;2;;Letzte Seite;Letzte Seite;
3;startlanguage;0;Metadata;3;;Start-Sprache;Start-Sprache;
4;seed;0;Metadata;4;;Zufallsgeneratorstartwert;Zufallsgeneratorstartwert;
5;startdate;0;Metadata;5;;Datum gestartet;Datum gestartet;
6;datestamp;0;Metadata;6;;Datum letzte Aktivität;Datum letzte Aktivität;
7;ipaddr;0;Metadata;7;;IP-Adresse;IP-Adresse;
8;year;1;General info;8;number;In welchem Jahr wurde Ihre Organisation gegründet?;In welchem Jahr wurde Ihre Organisation gegründet?;
9;Nemployees;1;General info;9;number;Wie viele Mitarbeiter beschäftigt Ihr Unternehmen heute?;Wie viele Mitarbeiter beschäftigt Ihr Unternehmen heute?;
10;Ncommunities;1;General info;10;number;Wie viele Gemeinden oder Kommunen betreuen Sie?;Wie viele Gemeinden oder Kommunen betreuen Sie?;
11;management;1;General info;11;bool;Gibt es eine eine geschäftsführende Person in Ihrem Ver- oder Abwasserverband?;Gibt es eine eine geschäftsführende Person in Ihrem Ver- oder Abwasserverband?;Ja$Nein
12;freeINDandDEC;1;General info;12;likert;Wie beurteilen Sie die organisatorischen Freiheiten Ihrer Organisation gegenüber den Kommunen?;Wie beurteilen Sie die organisatorischen Freiheiten Ihrer Organisation gegenüber den Kommunen?;
13;freeFINandGOV;1;General info;13;likert;Wie beurteilen Sie den Grad der Autonomie Ihrer Organisation gegenüber den Kommunen in Bezug auf die Verwaltung?;Wie beurteilen Sie den Grad der Autonomie Ihrer Organisation gegenüber den Kommunen in Bezug auf die Verwaltung?;
14;AREAtotal;1;General info;14;number;Wie groß ist die Gesamtfläche A [ha] des Einzugsgebietes des Verbandes?;Wie groß ist die Gesamtfläche A [ha] des Einzugsgebietes des Verbandes?;
15;AREAred;1;General info;15;number;Wie groß ist die mit der Kläranlage verbundene reduzierte Fläche Ared im Einzugsgebiet des Verbandes?;Wie groß ist die mit der Kläranlage verbundene reduzierte Fläche Ared im Einzugsgebiet des Verbandes?;
16;facilities[SQ001];1;General info;16;multiselect;Welche Anlagen betreibt Ihr Ver- oder Abwasserverband neben der Kläranlage? [Die Kläranlage (keine Regenbecken, keine Kanalisation)];Welche Anlagen betreibt Ihr Ver- oder Abwasserverband neben der Kläranlage? ;Die Kläranlage (keine Regenbecken, keine Kanalisation)
17;facilities[SQ002];1;General info;16;multiselect;Welche Anlagen betreibt Ihr Ver- oder Abwasserverband neben der Kläranlage? [Mischwasserentlastung im Eigentum der Gemeinden oder Gemeinden];Welche Anlagen betreibt Ihr Ver- oder Abwasserverband neben der Kläranlage? ;Mischwasserentlastung im Eigentum der Gemeinden oder Gemeinden
18;facilities[SQ003];1;General info;16;multiselect;Welche Anlagen betreibt Ihr Ver- oder Abwasserverband neben der Kläranlage? [Mischwasserentlastungen im Besitz der Organisation];Welche Anlagen betreibt Ihr Ver- oder Abwasserverband neben der Kläranlage? ;Mischwasserentlastungen im Besitz der Organisation
19;facilities[SQ004];1;General info;16;multiselect;Welche Anlagen betreibt Ihr Ver- oder Abwasserverband neben der Kläranlage? [Anteile der Kommunen an der Kanalisation];Welche Anlagen betreibt Ihr Ver- oder Abwasserverband neben der Kläranlage? ;Anteile der Kommunen an der Kanalisation
20;facilities[SQ005];1;General info;16;multiselect;Welche Anlagen betreibt Ihr Ver- oder Abwasserverband neben der Kläranlage? [Anteile an der Kanalisation, die sich im Besitz der Organisation befinden];Welche Anlagen betreibt Ihr Ver- oder Abwasserverband neben der Kläranlage? ;Anteile an der Kanalisation, die sich im Besitz der Organisation befinden
21;NCSOs;2;Sewer infrastructure elements;17;number;Wie viele Mischwasserüberläufe (CSO) betreibt Ihr Abwasserverband?;Wie viele Mischwasserüberläufe (CSO) betreibt Ihr Abwasserverband?;
22;CSOrehab;2;Sewer infrastructure elements;18;bool;Gab es in den letzten 5 Jahren eine Sanierung eines Mischwasserüberlaufs (CSO)?;Gab es in den letzten 5 Jahren eine Sanierung eines Mischwasserüberlaufs (CSO)?;Ja$Nein
23;CSOinvest;2;Sewer infrastructure elements;19;bool;Sind in den nächsten 5 Jahren Investitionen für die Sanierung eines Mischwasserüberlaufs (CSO) geplant?;Sind in den nächsten 5 Jahren Investitionen für die Sanierung eines Mischwasserüberlaufs (CSO) geplant?;Ja$Nein
24;Npumpstat;2;Sewer infrastructure elements;20;number;Wie viele Pumpstationen betreibt Ihr Abwasserverband?;Wie viele Pumpstationen betreibt Ihr Abwasserverband?;
