;Code;Group_ID;Group;Question_ID;QuestionType;Question;ShortQuestion;Answers
0;id;0;Metadata;0;;Besvarelse ID;Besvarelse ID;
1;submitdate;0;Metadata;1;;Dato for indsendelse;Dato for indsendelse;
2;lastpage;0;Metadata;2;;Sidste side;Sidste side;
3;startlanguage;0;Metadata;3;;Standardsprog;Standardsprog;
4;seed;0;Metadata;4;;Seed;Seed;
5;startdate;0;Metadata;5;;Startdato;Startdato;
6;datestamp;0;Metadata;6;;Dato for sidste handling;Dato for sidste handling;
7;ipaddr;0;Metadata;7;;IP-adresse;IP-adresse;
8;year;1;General info;8;number;I hvilket år blev din organisation grundlag?;I hvilket år blev din organisation grundlag?;
9;Nemployees;1;General info;9;number;Hvor mange medarbejdere har din virksomhed i dag?;Hvor mange medarbejdere har din virksomhed i dag?;
10;Ncommunities;1;General info;10;number;Hvor mange forsyningsområder eller kommuner betjener din organisation?;Hvor mange forsyningsområder eller kommuner betjener din organisation?;
11;management;1;General info;11;bool;Er der en administrerende direktør i din forsyningsvirksomhed eller spildevandsorganisation/forening?;Er der en administrerende direktør i din forsyningsvirksomhed eller spildevandsorganisation/forening?;Ja$Nej
12;freeINDandDEC;1;General info;12;likert;Hvordan vurderer du din organisations organisatoriske friheder overfor kommunerne?;Hvordan vurderer du din organisations organisatoriske friheder overfor kommunerne?;
13;freeFINandGOV;1;General info;13;likert;Hvordan vurderer du graden af selvbestemmelse din organisation har i forhold til kommunerne med hensyn til forvaltning?    ;Hvordan vurderer du graden af selvbestemmelse din organisation har i forhold til kommunerne med hensyn til forvaltning?    ;
14;AREAtotal;1;General info;14;number;Hvad er det samlede areal A [ha] for forsyningens oplandsområde?;Hvad er det samlede areal A [ha] for forsyningens oplandsområde?;
15;AREAred;1;General info;15;number;Hvad er størrelsen på det reducerede oplands areal Ared [ha] tilsluttet renseanlægget?;Hvad er størrelsen på det reducerede oplands areal Ared [ha] tilsluttet renseanlægget?;
16;facilities[SQ001];1;General info;16;multiselect;Hvilke faciliteter driver din forsyningsvirksomhed udover renseanlægget? [Renseanlægget (ingen regnvandsbassiner, ingen kloakker)];Hvilke faciliteter driver din forsyningsvirksomhed udover renseanlægget? ;Renseanlægget (ingen regnvandsbassiner, ingen kloakker)
17;facilities[SQ002];1;General info;16;multiselect;Hvilke faciliteter driver din forsyningsvirksomhed udover renseanlægget? [Overløbsbygværker ejet af kommunen];Hvilke faciliteter driver din forsyningsvirksomhed udover renseanlægget? ;Overløbsbygværker ejet af kommunen
18;facilities[SQ003];1;General info;16;multiselect;Hvilke faciliteter driver din forsyningsvirksomhed udover renseanlægget? [Overløbsbygværker ejet af din organisation];Hvilke faciliteter driver din forsyningsvirksomhed udover renseanlægget? ;Overløbsbygværker ejet af din organisation
19;facilities[SQ004];1;General info;16;multiselect;Hvilke faciliteter driver din forsyningsvirksomhed udover renseanlægget? [Andele af afløbssystemet ejet af kommunen];Hvilke faciliteter driver din forsyningsvirksomhed udover renseanlægget? ;Andele af afløbssystemet ejet af kommunen
20;facilities[SQ005];1;General info;16;multiselect;Hvilke faciliteter driver din forsyningsvirksomhed udover renseanlægget? [Andele af kloaksystemer ejet af din organisation];Hvilke faciliteter driver din forsyningsvirksomhed udover renseanlægget? ;Andele af kloaksystemer ejet af din organisation
21;NCSOs;2;Sewer infrastructure elements;17;number;Hvor overløbsbygværker driver din organisation?;Hvor overløbsbygværker driver din organisation?;
22;CSOrehab;2;Sewer infrastructure elements;18;bool;Har din organisation foretaget renoveringer af et eller flere overløbsbygværker indenfor de seneste 5 år?;Har din organisation foretaget renoveringer af et eller flere overløbsbygværker indenfor de seneste 5 år?;Ja$Nej
23;CSOinvest;2;Sewer infrastructure elements;19;bool;Er der planlagt investeringer til renovering overløbsbygværker i de næste 5 år?;Er der planlagt investeringer til renovering overløbsbygværker i de næste 5 år?;Ja$Nej
24;Npumpstat;2;Sewer infrastructure elements;20;number;Hvor mange pumpestationer driver din organisation?;Hvor mange pumpestationer driver din organisation?;
25;MvarCSO[SQ001];3;Monitoring technology for CSOs;21;multiselect;Nedenfor kan du se et udvalg af variable og afledte størrelser, der kan måles på overløb. Sæt kryds ved de målte variable, som din organisation registrerer    [Videreførende vandføring til renseanlægget [l/s]];Nedenfor kan du se et udvalg af variable og afledte størrelser, der kan måles på overløb. Sæt kryds ved de målte variable, som din organisation registrerer    ;Videreførende vandføring til renseanlægget [l/s]
26;MvarCSO[SQ002];3;Monitoring technology for CSOs;21;multiselect;Nedenfor kan du se et udvalg af variable og afledte størrelser, der kan måles på overløb. Sæt kryds ved de målte variable, som din organisation registrerer    [Vandstand i overløbsbygværket [m]];Nedenfor kan du se et udvalg af variable og afledte størrelser, der kan måles på overløb. Sæt kryds ved de målte variable, som din organisation registrerer    ;Vandstand i overløbsbygværket [m]
27;MvarCSO[SQ003];3;Monitoring technology for CSOs;21;multiselect;Nedenfor kan du se et udvalg af variable og afledte størrelser, der kan måles på overløb. Sæt kryds ved de målte variable, som din organisation registrerer    [Overløbsvarighed];Nedenfor kan du se et udvalg af variable og afledte størrelser, der kan måles på overløb. Sæt kryds ved de målte variable, som din organisation registrerer    ;Overløbsvarighed
28;MvarCSO[SQ004];3;Monitoring technology for CSOs;21;multiselect;Nedenfor kan du se et udvalg af variable og afledte størrelser, der kan måles på overløb. Sæt kryds ved de målte variable, som din organisation registrerer    [Overløbefrekvens [antal/år]];Nedenfor kan du se et udvalg af variable og afledte størrelser, der kan måles på overløb. Sæt kryds ved de målte variable, som din organisation registrerer    ;Overløbefrekvens [antal/år]
29;MvarCSO[SQ005];3;Monitoring technology for CSOs;21;multiselect;Nedenfor kan du se et udvalg af variable og afledte størrelser, der kan måles på overløb. Sæt kryds ved de målte variable, som din organisation registrerer    [Overløbesvolumen];Nedenfor kan du se et udvalg af variable og afledte størrelser, der kan måles på overløb. Sæt kryds ved de målte variable, som din organisation registrerer    ;Overløbesvolumen
30;MvarCSO[other];3;Monitoring technology for CSOs;21;multiselect_text;Nedenfor kan du se et udvalg af variable og afledte størrelser, der kan måles på overløb. Sæt kryds ved de målte variable, som din organisation registrerer    [Andet];Nedenfor kan du se et udvalg af variable og afledte størrelser, der kan måles på overløb. Sæt kryds ved de målte variable, som din organisation registrerer    ;Andet
31;NinstrumCSO;3;Monitoring technology for CSOs;22;number;Det følgende spørgsmål omhandler monitorering af overløb. Med sensor mener vi for eksempel:  • Overløbsdetektorer  • Sensorer til måling af vanddybe, vandstand eller vandkvalitet  • Osv.  Hvor mange af organisationens overløbsbygværker er udstyret mindst én sensor?;Det følgende spørgsmål omhandler monitorering af overløb. Med sensor mener vi for eksempel:  • Overløbsdetektorer  • Sensorer til måling af vanddybe, vandstand eller vandkvalitet  • Osv.  Hvor mange af organisationens overløbsbygværker er udstyret mindst én sensor?;
32;Npluviom;3;Monitoring technology for CSOs;23;number;Hvor mange permanente regnmålere driver din organisation?;Hvor mange permanente regnmålere driver din organisation?;
33;WLmeas[SQ001];4;CSO data transmission and management;24;multiselect;Hvordan indsamles/overføres vandstands/overløbsdata fra sensoren [Via fiberoptisk forbindelse];Hvordan indsamles/overføres vandstands/overløbsdata fra sensoren ;Via fiberoptisk forbindelse
34;WLmeas[SQ002];4;CSO data transmission and management;24;multiselect;Hvordan indsamles/overføres vandstands/overløbsdata fra sensoren [Via fastnet/kobberkabel/kabeltelemetri];Hvordan indsamles/overføres vandstands/overløbsdata fra sensoren ;Via fastnet/kobberkabel/kabeltelemetri
35;WLmeas[SQ003];4;CSO data transmission and management;24;multiselect;Hvordan indsamles/overføres vandstands/overløbsdata fra sensoren [Trådløst via GSM (mobilnetværk)];Hvordan indsamles/overføres vandstands/overløbsdata fra sensoren ;Trådløst via GSM (mobilnetværk)
36;WLmeas[SQ004];4;CSO data transmission and management;24;multiselect;Hvordan indsamles/overføres vandstands/overløbsdata fra sensoren [Trådløst via LoRaWAN (lavenergi-radio)];Hvordan indsamles/overføres vandstands/overløbsdata fra sensoren ;Trådløst via LoRaWAN (lavenergi-radio)
37;WLmeas[SQ005];4;CSO data transmission and management;24;multiselect;Hvordan indsamles/overføres vandstands/overløbsdata fra sensoren [Måledata optages lokalt, aflæses manuelt og kan gemmes på et fysisk lagringsmedium (f.eks. USB-nøgle) og tages med tilbage.];Hvordan indsamles/overføres vandstands/overløbsdata fra sensoren ;Måledata optages lokalt, aflæses manuelt og kan gemmes på et fysisk lagringsmedium (f.eks. USB-nøgle) og tages med tilbage.
38;WLmeas[other];4;CSO data transmission and management;24;multiselect_text;Hvordan indsamles/overføres vandstands/overløbsdata fra sensoren [Andet];Hvordan indsamles/overføres vandstands/overløbsdata fra sensoren ;Andet
39;WLplants;4;CSO data transmission and management;25;singleselect;Fra hvor mange anlæg overføres  vandstands/overløbsdata direkte til SRO-systemet på rensningsanlægget?;Fra hvor mange anlæg overføres  vandstands/overløbsdata direkte til SRO-systemet på rensningsanlægget?;Fra de fleste$Ingen$Fra alle$Fra nogle
40;WLassess;4;CSO data transmission and management;26;singleselect;Hvor ofte anvendes vandstands/overløbsdata til evaluering af systemets funktion?;Hvor ofte anvendes vandstands/overløbsdata til evaluering af systemets funktion?;Flere gange om året$Aldrig$En gang om måneden$Dagligt$Realtid eller nær-realtid$Årligt$Evalueringen udføres uregelmæssigt, f.eks. under planlægning eller revision af spildevandsplanen
41;WLdataQlty;4;CSO data transmission and management;27;bool;Kvaliteten af organisationens vandstandsdata er god?;Kvaliteten af organisationens vandstandsdata er god?;Agree$Disagree
42;WLdataQLTYbad[SQ001];4;CSO data transmission and management;28;multiselect;Efter vores mening ligger årsagen til den dårlige datakvalitet i [Sensoren/måleinstrumentet];Efter vores mening ligger årsagen til den dårlige datakvalitet i ;Sensoren/måleinstrumentet
43;WLdataQLTYbad[SQ002];4;CSO data transmission and management;28;multiselect;Efter vores mening ligger årsagen til den dårlige datakvalitet i [Dataindsamling/datatransmission];Efter vores mening ligger årsagen til den dårlige datakvalitet i ;Dataindsamling/datatransmission
44;WLdataQLTYbad[SQ003];4;CSO data transmission and management;28;multiselect;Efter vores mening ligger årsagen til den dårlige datakvalitet i [De hydrauliske forhold omkring målelokaliteten];Efter vores mening ligger årsagen til den dårlige datakvalitet i ;De hydrauliske forhold omkring målelokaliteten
45;WLdataQLTYbad[other];4;CSO data transmission and management;28;multiselect_text;Efter vores mening ligger årsagen til den dårlige datakvalitet i [Andet];Efter vores mening ligger årsagen til den dårlige datakvalitet i ;Andet
46;WQproblm2[SQ001];4;CSO data transmission and management;29;multiselect;Vi har følgende problemer: [Manglende målinger];Vi har følgende problemer: ;Manglende målinger
47;WQproblm2[SQ002];4;CSO data transmission and management;29;multiselect;Vi har følgende problemer: [Drift i målesignalet];Vi har følgende problemer: ;Drift i målesignalet
48;WQproblm2[SQ003];4;CSO data transmission and management;29;multiselect;Vi har følgende problemer: [Støj i målesignalet];Vi har følgende problemer: ;Støj i målesignalet
49;WQproblm2[SQ004];4;CSO data transmission and management;29;multiselect;Vi har følgende problemer: [Vi er ikke sikre på målingernes nøjagtighed];Vi har følgende problemer: ;Vi er ikke sikre på målingernes nøjagtighed
50;WQproblm2[other];4;CSO data transmission and management;29;multiselect_text;Vi har følgende problemer: [Andet];Vi har følgende problemer: ;Andet
51;ORGshare[SQ001];4;CSO data transmission and management;30;multiselect;Vores organisation deler vandstandsdata med tredjeparter [Nej, det gør vi ikke];Vores organisation deler vandstandsdata med tredjeparter ;Nej, det gør vi ikke
52;ORGshare[SQ002];4;CSO data transmission and management;30;multiselect;Vores organisation deler vandstandsdata med tredjeparter [Ja, med rådgivende ingeniørfirma for at vurdere datakvaliteten];Vores organisation deler vandstandsdata med tredjeparter ;Ja, med rådgivende ingeniørfirma for at vurdere datakvaliteten
53;ORGshare[SQ003];4;CSO data transmission and management;30;multiselect;Vores organisation deler vandstandsdata med tredjeparter [Ja, for at kontrollere nøjagtigheden af vores simuleringsmodeller];Vores organisation deler vandstandsdata med tredjeparter ;Ja, for at kontrollere nøjagtigheden af vores simuleringsmodeller
54;ORGshare[SQ004];4;CSO data transmission and management;30;multiselect;Vores organisation deler vandstandsdata med tredjeparter [Ja, med lokale eller regionale tilsynsmyndigheder til overensstemmelsesvurdering];Vores organisation deler vandstandsdata med tredjeparter ;Ja, med lokale eller regionale tilsynsmyndigheder til overensstemmelsesvurdering
55;ORGshare[other];4;CSO data transmission and management;30;multiselect_text;Vores organisation deler vandstandsdata med tredjeparter [Andet];Vores organisation deler vandstandsdata med tredjeparter ;Andet
56;MTavail;5;Added value through the use of measurement technology;31;bool;Er måleteknologi tilgængelig i jeres overløbsbygværker?;Er måleteknologi tilgængelig i jeres overløbsbygværker?;Ja$Nej
57;METex[SQ001];5;Added value through the use of measurement technology;32;3multiselect;De følgende eksempler beskriver, hvordan systemoperatører kan drage fordel af måleteknologi i urbane afløbssystemer. Hvad er de 3 grunde, der ville motivere dig mest til at bruge måleteknologi? [Gøre funktionen af afløbssystemer synlig];De følgende eksempler beskriver, hvordan systemoperatører kan drage fordel af måleteknologi i urbane afløbssystemer. Hvad er de 3 grunde, der ville motivere dig mest til at bruge måleteknologi? ;Gøre funktionen af afløbssystemer synlig
58;METex[SQ002];5;Added value through the use of measurement technology;32;3multiselect;De følgende eksempler beskriver, hvordan systemoperatører kan drage fordel af måleteknologi i urbane afløbssystemer. Hvad er de 3 grunde, der ville motivere dig mest til at bruge måleteknologi? [Omkostnings- og tidsbesparelser for driftspersonale];De følgende eksempler beskriver, hvordan systemoperatører kan drage fordel af måleteknologi i urbane afløbssystemer. Hvad er de 3 grunde, der ville motivere dig mest til at bruge måleteknologi? ;Omkostnings- og tidsbesparelser for driftspersonale
59;METex[SQ003];5;Added value through the use of measurement technology;32;3multiselect;De følgende eksempler beskriver, hvordan systemoperatører kan drage fordel af måleteknologi i urbane afløbssystemer. Hvad er de 3 grunde, der ville motivere dig mest til at bruge måleteknologi? [Bevarelse af afløbssystemernes værdi];De følgende eksempler beskriver, hvordan systemoperatører kan drage fordel af måleteknologi i urbane afløbssystemer. Hvad er de 3 grunde, der ville motivere dig mest til at bruge måleteknologi? ;Bevarelse af afløbssystemernes værdi
60;METex[SQ004];5;Added value through the use of measurement technology;32;3multiselect;De følgende eksempler beskriver, hvordan systemoperatører kan drage fordel af måleteknologi i urbane afløbssystemer. Hvad er de 3 grunde, der ville motivere dig mest til at bruge måleteknologi? [Kontinuerlig overvågning for at opdage driftsforstyrrelser];De følgende eksempler beskriver, hvordan systemoperatører kan drage fordel af måleteknologi i urbane afløbssystemer. Hvad er de 3 grunde, der ville motivere dig mest til at bruge måleteknologi? ;Kontinuerlig overvågning for at opdage driftsforstyrrelser
61;METex[SQ005];5;Added value through the use of measurement technology;32;3multiselect;De følgende eksempler beskriver, hvordan systemoperatører kan drage fordel af måleteknologi i urbane afløbssystemer. Hvad er de 3 grunde, der ville motivere dig mest til at bruge måleteknologi? [Realtidskontrol og styring af spildevandssystemer];De følgende eksempler beskriver, hvordan systemoperatører kan drage fordel af måleteknologi i urbane afløbssystemer. Hvad er de 3 grunde, der ville motivere dig mest til at bruge måleteknologi? ;Realtidskontrol og styring af spildevandssystemer
62;METex[SQ006];5;Added value through the use of measurement technology;32;3multiselect;De følgende eksempler beskriver, hvordan systemoperatører kan drage fordel af måleteknologi i urbane afløbssystemer. Hvad er de 3 grunde, der ville motivere dig mest til at bruge måleteknologi? [Integreret styring af afløbssystemet og rensningsanlægget (og evt. vådområder)];De følgende eksempler beskriver, hvordan systemoperatører kan drage fordel af måleteknologi i urbane afløbssystemer. Hvad er de 3 grunde, der ville motivere dig mest til at bruge måleteknologi? ;Integreret styring af afløbssystemet og rensningsanlægget (og evt. vådområder)
63;METex[SQ007];5;Added value through the use of measurement technology;32;3multiselect;De følgende eksempler beskriver, hvordan systemoperatører kan drage fordel af måleteknologi i urbane afløbssystemer. Hvad er de 3 grunde, der ville motivere dig mest til at bruge måleteknologi? [Skabe grundlag for fremtidig planlægning];De følgende eksempler beskriver, hvordan systemoperatører kan drage fordel af måleteknologi i urbane afløbssystemer. Hvad er de 3 grunde, der ville motivere dig mest til at bruge måleteknologi? ;Skabe grundlag for fremtidig planlægning
64;METex[SQ008];5;Added value through the use of measurement technology;32;3multiselect;De følgende eksempler beskriver, hvordan systemoperatører kan drage fordel af måleteknologi i urbane afløbssystemer. Hvad er de 3 grunde, der ville motivere dig mest til at bruge måleteknologi? [Undgå fejlinvesteringer];De følgende eksempler beskriver, hvordan systemoperatører kan drage fordel af måleteknologi i urbane afløbssystemer. Hvad er de 3 grunde, der ville motivere dig mest til at bruge måleteknologi? ;Undgå fejlinvesteringer
65;METex[SQ009];5;Added value through the use of measurement technology;32;3multiselect;De følgende eksempler beskriver, hvordan systemoperatører kan drage fordel af måleteknologi i urbane afløbssystemer. Hvad er de 3 grunde, der ville motivere dig mest til at bruge måleteknologi? [Evaluering og overvågning af systemets funktion];De følgende eksempler beskriver, hvordan systemoperatører kan drage fordel af måleteknologi i urbane afløbssystemer. Hvad er de 3 grunde, der ville motivere dig mest til at bruge måleteknologi? ;Evaluering og overvågning af systemets funktion
66;METex[other];5;Added value through the use of measurement technology;32;3multiselect_text;De følgende eksempler beskriver, hvordan systemoperatører kan drage fordel af måleteknologi i urbane afløbssystemer. Hvad er de 3 grunde, der ville motivere dig mest til at bruge måleteknologi? [Andet];De følgende eksempler beskriver, hvordan systemoperatører kan drage fordel af måleteknologi i urbane afløbssystemer. Hvad er de 3 grunde, der ville motivere dig mest til at bruge måleteknologi? ;Andet
67;METobst[SQ001];5;Added value through the use of measurement technology;33;3multiselect;Hvor ser du de 3 største hindringer for brugen af måleteknologi for din organisation? [Finansielle årsager];Hvor ser du de 3 største hindringer for brugen af måleteknologi for din organisation? ;Finansielle årsager
68;METobst[SQ002];5;Added value through the use of measurement technology;33;3multiselect;Hvor ser du de 3 største hindringer for brugen af måleteknologi for din organisation? [Tekniske vanskeligheder ved installation af måleteknologi];Hvor ser du de 3 største hindringer for brugen af måleteknologi for din organisation? ;Tekniske vanskeligheder ved installation af måleteknologi
69;METobst[SQ003];5;Added value through the use of measurement technology;33;3multiselect;Hvor ser du de 3 største hindringer for brugen af måleteknologi for din organisation? [Tekniske vanskeligheder ved håndtering af måledata];Hvor ser du de 3 største hindringer for brugen af måleteknologi for din organisation? ;Tekniske vanskeligheder ved håndtering af måledata
70;METobst[SQ004];5;Added value through the use of measurement technology;33;3multiselect;Hvor ser du de 3 største hindringer for brugen af måleteknologi for din organisation? [Mangel på standardiserede procedurer];Hvor ser du de 3 største hindringer for brugen af måleteknologi for din organisation? ;Mangel på standardiserede procedurer
71;METobst[SQ005];5;Added value through the use of measurement technology;33;3multiselect;Hvor ser du de 3 største hindringer for brugen af måleteknologi for din organisation? [Ingen myndighedssupport til dataindsamling og -behandling];Hvor ser du de 3 største hindringer for brugen af måleteknologi for din organisation? ;Ingen myndighedssupport til dataindsamling og -behandling
72;METobst[SQ006];5;Added value through the use of measurement technology;33;3multiselect;Hvor ser du de 3 største hindringer for brugen af måleteknologi for din organisation? [Ingen lovgivningsmæssige krav];Hvor ser du de 3 største hindringer for brugen af måleteknologi for din organisation? ;Ingen lovgivningsmæssige krav
73;METobst[SQ007];5;Added value through the use of measurement technology;33;3multiselect;Hvor ser du de 3 største hindringer for brugen af måleteknologi for din organisation? [Måleteknik er ikke relevant eller nødvendigt for os];Hvor ser du de 3 største hindringer for brugen af måleteknologi for din organisation? ;Måleteknik er ikke relevant eller nødvendigt for os
74;METobst[SQ008];5;Added value through the use of measurement technology;33;3multiselect;Hvor ser du de 3 største hindringer for brugen af måleteknologi for din organisation? [Vi ved ikke meget om måleteknik];Hvor ser du de 3 største hindringer for brugen af måleteknologi for din organisation? ;Vi ved ikke meget om måleteknik
75;METobst[other];5;Added value through the use of measurement technology;33;3multiselect_text;Hvor ser du de 3 største hindringer for brugen af måleteknologi for din organisation? [Andet];Hvor ser du de 3 største hindringer for brugen af måleteknologi for din organisation? ;Andet
76;MEASplants[SQ001];5;Added value through the use of measurement technology;34;3multiselect;Hvorfor har din organisation besluttet at anvende måleteknologi på anlæggene? Vælg venligst op til 3 hovedårsager. [Gøre funktionen af afløbsnettet synlig];Hvorfor har din organisation besluttet at anvende måleteknologi på anlæggene? Vælg venligst op til 3 hovedårsager. ;Gøre funktionen af afløbsnettet synlig
77;MEASplants[SQ002];5;Added value through the use of measurement technology;34;3multiselect;Hvorfor har din organisation besluttet at anvende måleteknologi på anlæggene? Vælg venligst op til 3 hovedårsager. [Spare omkostninger og tid for driften];Hvorfor har din organisation besluttet at anvende måleteknologi på anlæggene? Vælg venligst op til 3 hovedårsager. ;Spare omkostninger og tid for driften
78;MEASplants[SQ003];5;Added value through the use of measurement technology;34;3multiselect;Hvorfor har din organisation besluttet at anvende måleteknologi på anlæggene? Vælg venligst op til 3 hovedårsager. [Bevarelse af afløbssystemernes værdi];Hvorfor har din organisation besluttet at anvende måleteknologi på anlæggene? Vælg venligst op til 3 hovedårsager. ;Bevarelse af afløbssystemernes værdi
79;MEASplants[SQ004];5;Added value through the use of measurement technology;34;3multiselect;Hvorfor har din organisation besluttet at anvende måleteknologi på anlæggene? Vælg venligst op til 3 hovedårsager. [Kontinuerlig overvågning for at opdage driftsforstyrrelser];Hvorfor har din organisation besluttet at anvende måleteknologi på anlæggene? Vælg venligst op til 3 hovedårsager. ;Kontinuerlig overvågning for at opdage driftsforstyrrelser
80;MEASplants[SQ005];5;Added value through the use of measurement technology;34;3multiselect;Hvorfor har din organisation besluttet at anvende måleteknologi på anlæggene? Vælg venligst op til 3 hovedårsager. [Dynamisk udledningskontrol af spildevandsanlæg];Hvorfor har din organisation besluttet at anvende måleteknologi på anlæggene? Vælg venligst op til 3 hovedårsager. ;Dynamisk udledningskontrol af spildevandsanlæg
81;MEASplants[SQ006];5;Added value through the use of measurement technology;34;3multiselect;Hvorfor har din organisation besluttet at anvende måleteknologi på anlæggene? Vælg venligst op til 3 hovedårsager. [Integreret styring af afløbssystemet og rensningsanlægget (og evt. vådområder)];Hvorfor har din organisation besluttet at anvende måleteknologi på anlæggene? Vælg venligst op til 3 hovedårsager. ;Integreret styring af afløbssystemet og rensningsanlægget (og evt. vådområder)
82;MEASplants[SQ007];5;Added value through the use of measurement technology;34;3multiselect;Hvorfor har din organisation besluttet at anvende måleteknologi på anlæggene? Vælg venligst op til 3 hovedårsager. [Skabe grundlag for fremtidig planlægning];Hvorfor har din organisation besluttet at anvende måleteknologi på anlæggene? Vælg venligst op til 3 hovedårsager. ;Skabe grundlag for fremtidig planlægning
83;MEASplants[SQ008];5;Added value through the use of measurement technology;34;3multiselect;Hvorfor har din organisation besluttet at anvende måleteknologi på anlæggene? Vælg venligst op til 3 hovedårsager. [Undgå fejlinvesteringer];Hvorfor har din organisation besluttet at anvende måleteknologi på anlæggene? Vælg venligst op til 3 hovedårsager. ;Undgå fejlinvesteringer
84;MEASplants[SQ009];5;Added value through the use of measurement technology;34;3multiselect;Hvorfor har din organisation besluttet at anvende måleteknologi på anlæggene? Vælg venligst op til 3 hovedårsager. [Evaluering og overvågning af systemets funktion];Hvorfor har din organisation besluttet at anvende måleteknologi på anlæggene? Vælg venligst op til 3 hovedårsager. ;Evaluering og overvågning af systemets funktion
85;MEASplants[other];5;Added value through the use of measurement technology;34;3multiselect_text;Hvorfor har din organisation besluttet at anvende måleteknologi på anlæggene? Vælg venligst op til 3 hovedårsager. [Andet];Hvorfor har din organisation besluttet at anvende måleteknologi på anlæggene? Vælg venligst op til 3 hovedårsager. ;Andet
