Code;Group_ID;Group;Question_ID;QuestionType;Question;ShortQuestion;Answers
id;0;Metadata;0;;Response ID+D4D2:D96;Response ID+D4D2:D96;
submitdate;0;Metadata;1;;Date submitted;Date submitted;
lastpage;0;Metadata;2;;Last page;Last page;
startlanguage;0;Metadata;3;;Start language;Start language;
seed;0;Metadata;4;;Seed;Seed;
startdate;0;Metadata;5;;Date started;Date started;
datestamp;0;Metadata;6;;Date last action;Date last action;
ipaddr;0;Metadata;7;;IP address;IP address;
year;1;General info;8;number;In what year was your organization founded?;In what year was your organization founded?;
Nemployees;1;General info;9;number;How many people does your organization employ today?;How many people does your organization employ today?;
Ncommunities;1;General info;10;number;How many communities or municipalities do you service?;How many communities or municipalities do you service?;
management;1;General info;11;bool;Is there a managing director in your utility or wastewater association?;Is there a managing director in your utility or wastewater association?;Yes$No
freeINDandDEC;1;General info;12;likert;How do you assess the operational freedoms of your organization vis-à-vis the municipalities?;How do you assess the operational freedoms of your organization vis-à-vis the municipalities?;
freeFINandGOV;1;General info;13;likert;How do you evaluate the level of autonomy your organization has vis-à-vis the municipalities concerning governance?    ;How do you evaluate the level of autonomy your organization has vis-à-vis the municipalities concerning governance?    ;
AREAtotal;1;General info;14;number;What is the total area A [ha] of the association's catchment area?;What is the total area A [ha] of the association's catchment area?;
AREAred;1;General info;15;number;What is the size of the reduced area Ared [hared] connected to the WWTP in the association's catchment area?;What is the size of the reduced area Ared [hared] connected to the WWTP in the association's catchment area?;
facilities[SQ001];1;General info;16;multiselect;What facilities does your utility or wastewater association operate in addition to the WWTP? [The WWTP (no stormwater basins, no sewerage)];What facilities does your utility or wastewater association operate in addition to the WWTP?;The WWTP (no stormwater basins, no sewerage)
facilities[SQ002];1;General info;16;multiselect;What facilities does your utility or wastewater association operate in addition to the WWTP? [Combined sewer overflows (CSO) owned by the communities or municipalities];What facilities does your utility or wastewater association operate in addition to the WWTP?;Combined sewer overflows (CSO) owned by the communities or municipalities
facilities[SQ003];1;General info;16;multiselect;What facilities does your utility or wastewater association operate in addition to the WWTP? [Combined sewer overflows (CSO) owned by the organization];What facilities does your utility or wastewater association operate in addition to the WWTP?;Combined sewer overflows (CSO) owned by the organization
facilities[SQ004];1;General info;16;multiselect;What facilities does your utility or wastewater association operate in addition to the WWTP? [Shares of the sewerage system owned by the municipalities];What facilities does your utility or wastewater association operate in addition to the WWTP?;Shares of the sewerage system owned by the municipalities
facilities[SQ005];1;General info;16;multiselect;What facilities does your utility or wastewater association operate in addition to the WWTP? [Shares of the sewerage system owned by the organization];What facilities does your utility or wastewater association operate in addition to the WWTP?;Shares of the sewerage system owned by the organization
NCSOs;2;Sewer infrastructure elements;17;number;How many Combined sewer overflows (CSO) does your wastewater association operate?;How many Combined sewer overflows (CSO) does your wastewater association operate?;
CSOrehab;2;Sewer infrastructure elements;18;bool;Has there been a rehabilitation of a combined sewer overflow (CSO) in the last 5 years?;Has there been a rehabilitation of a combined sewer overflow (CSO) in the last 5 years?;Yes$No
CSOinvest;2;Sewer infrastructure elements;19;bool;Are there any investments planned for the rehabilitation of a combined sewer overflow (CSO) in the next 5 years?;Are there any investments planned for the rehabilitation of a combined sewer overflow (CSO) in the next 5 years?;Yes$No
Npumpstat;2;Sewer infrastructure elements;20;number;How many pumping stations does your wastewater association operate?;How many pumping stations does your wastewater association operate?;
MvarCSO[SQ001];3;Monitoring technology for CSOs;21;multiselect;Below you can see a selection of variables and derived quantities that can be measured on Combined sewer overflows (CSO). Please tick the measured variables that your wastewater association records.    [Carry-on flows to the WWTP [l/s]];Measured variables and derived quantities in CSOs;Carry-on flows to the WWTP
MvarCSO[SQ002];3;Monitoring technology for CSOs;21;multiselect;Below you can see a selection of variables and derived quantities that can be measured on Combined sewer overflows (CSO). Please tick the measured variables that your wastewater association records.    [Water level in the combined sewer overflow [m]];Measured variables and derived quantities in CSOs;Water level in the CSO
MvarCSO[SQ003];3;Monitoring technology for CSOs;21;multiselect;Below you can see a selection of variables and derived quantities that can be measured on Combined sewer overflows (CSO). Please tick the measured variables that your wastewater association records.    [Spill duration];Measured variables and derived quantities in CSOs;Spill duration
MvarCSO[SQ004];3;Monitoring technology for CSOs;21;multiselect;Below you can see a selection of variables and derived quantities that can be measured on Combined sewer overflows (CSO). Please tick the measured variables that your wastewater association records.    [Spill frequency (spills/year)];Measured variables and derived quantities in CSOs;Spill frequency (spills/year)
MvarCSO[SQ005];3;Monitoring technology for CSOs;21;multiselect;Below you can see a selection of variables and derived quantities that can be measured on Combined sewer overflows (CSO). Please tick the measured variables that your wastewater association records.    [Overflow volume];Measured variables and derived quantities in CSOs;Overflow volume
MvarCSO[other];3;Monitoring technology for CSOs;21;multiselect_text;Below you can see a selection of variables and derived quantities that can be measured on Combined sewer overflows (CSO). Please tick the measured variables that your wastewater association records.    [Other];Measured variables and derived quantities in CSOs;Other
NinstrumCSO;3;Monitoring technology for CSOs;22;number;The following question concerns monitoring on combined sewer overflows. By measuring instruments we mean, for example:   • Overflow detectors   • Sensors to measure water depth, level or water quality   •etc.   How many of your combined sewer overflows are equipped with at least one such sensor device?;How many of your combined sewer overflows are equipped with at least one sensor device, such as Overflow detectors, Sensors to measure water depth, level or water quality, etc?;
Npluviom;3;Monitoring technology for CSOs;23;number;How many permanent rain gauges does your wastewater association operate?;How many permanent rain gauges does your wastewater association operate?;
WLmeas[SQ001];4;CSO data transmission and management;24;multiselect;How is the water level/spill data transmitted by the measuring devices? [About fiber optics];How is the water level/spill data transmitted by the measuring devices?;About fiber optics
WLmeas[SQ002];4;CSO data transmission and management;24;multiselect;How is the water level/spill data transmitted by the measuring devices? [Via fixed landline/a copper cable/cable tlemetry];How is the water level/spill data transmitted by the measuring devices?;Via fixed landline/cable 
WLmeas[SQ003];4;CSO data transmission and management;24;multiselect;How is the water level/spill data transmitted by the measuring devices? [Wireless via GSM (mobile network)];How is the water level/spill data transmitted by the measuring devices?;Wireless via GSM (mobile network)
WLmeas[SQ004];4;CSO data transmission and management;24;multiselect;How is the water level/spill data transmitted by the measuring devices? [Wireless via LoRaWAN (low-energy radio)];How is the water level/spill data transmitted by the measuring devices?;Wireless via LoRaWAN (low-energy radio)
WLmeas[SQ005];4;CSO data transmission and management;24;multiselect;How is the water level/spill data transmitted by the measuring devices? [The measurement data is recorded on site, read out manually and can be stored on a physical storage medium (e.g. USB stick) and taken along];How is the water level/spill data transmitted by the measuring devices?;Read out manually
WLmeas[other];4;CSO data transmission and management;24;multiselect_text;How is the water level/spill data transmitted by the measuring devices? [Other];How is the water level/spill data transmitted by the measuring devices?;Other
WLplants;4;CSO data transmission and management;25;singleselect;From how many installations are the water level/spill data transmitted directly to the process control system (DCS) of the WWTP?;From how many installations are the data transmitted directly to the DCS of the WWTP?;Of None$From some$Of most$Of all
WLassess;4;CSO data transmission and management;26;singleselect;How often are the water level/spill data evaluated for the assessment of performance?;How often are the water level/spill data evaluated for performance assessment?;In near real-time$Daily$Once a month$Several times a year$Annually$The evaluation is carried out irregularly, e.g. during the planning or revision of the integrated drainage plan$Never
WLdataQlty;4;CSO data transmission and management;27;bool;The quality of our water level monitoring data in our organization is good? ;The quality of our water level monitoring data in our organization is good? ;Yes$No
WLdataQLTYbad[SQ001];4;CSO data transmission and management;28;multiselect;In our opinion, the cause of the poor data quality lies in  [The measuring instruments];In our opinion, the cause of the poor data quality lies in…;The measuring instruments
WLdataQLTYbad[SQ002];4;CSO data transmission and management;28;multiselect;In our opinion, the cause of the poor data quality lies in  [The data transmission];In our opinion, the cause of the poor data quality lies in…;The data transmission
WLdataQLTYbad[SQ003];4;CSO data transmission and management;28;multiselect;In our opinion, the cause of the poor data quality lies in  [The hydraulic conditions at the monitoring site];In our opinion, the cause of the poor data quality lies in…;The hydraulic conditions at the monitoring site
WLdataQLTYbad[other];4;CSO data transmission and management;28;multiselect_text;In our opinion, the cause of the poor data quality lies in  [Other];In our opinion, the cause of the poor data quality lies in…;Other
WQproblm2[SQ001];4;CSO data transmission and management;29;multiselect;We have the following problems:  [Missing measurements];We have the following problems:;Missing measurements
WQproblm2[SQ002];4;CSO data transmission and management;29;multiselect;We have the following problems:  [Drift in the measurement signal];We have the following problems:;Drift in the measurement signal
WQproblm2[SQ003];4;CSO data transmission and management;29;multiselect;We have the following problems:  [Noise on the measurement signal];We have the following problems:;Noise on the measurement signal
