;Code;Group_ID;Group;Question_ID;QuestionType;Question;ShortQuestion;Answers
0;id;0;Metadata;0;;ID de respuesta;ID de respuesta;
1;submitdate;0;Metadata;1;;Fecha de envío;Fecha de envío;
2;lastpage;0;Metadata;2;;Última página;Última página;
3;startlanguage;0;Metadata;3;;Lenguaje inicial;Lenguaje inicial;
4;seed;0;Metadata;4;;Semilla;Semilla;
5;startdate;0;Metadata;5;;Fecha de inicio;Fecha de inicio;
6;datestamp;0;Metadata;6;;Fecha de la última acción;Fecha de la última acción;
7;ipaddr;0;Metadata;7;;Dirección IP;Dirección IP;
8;year;1;General info;8;number;¿En qué año se fundó su organización? ;¿En qué año se fundó su organización? ;
9;Nemployees;1;General info;9;number;¿Cuántas personas empleadas tiene su organización?;¿Cuántas personas empleadas tiene su organización?;
10;Ncommunities;1;General info;10;number;¿A cuántas comunidades de usuarios o municipios presta servicio? ;¿A cuántas comunidades de usuarios o municipios presta servicio? ;
11;management;1;General info;11;bool;¿Hay una persona gerente en su empresa de servicios públicos o o o comunidad de usuarios?;¿Hay una persona gerente en su empresa de servicios públicos o o o comunidad de usuarios?;Sí$No
12;freeINDandDEC;1;General info;12;likert;¿Cómo evalúa las libertad de su organización frente a los municipios? ;¿Cómo evalúa las libertad de su organización frente a los municipios? ;
13;freeFINandGOV;1;General info;13;likert;¿Cómo evalúa las libertad de su organización frente a los municipios?;¿Cómo evalúa las libertad de su organización frente a los municipios?;
14;AREAtotal;1;General info;14;number;¿Cuál es el área total A [ha] de la cuenca del sistema de drenaje?;¿Cuál es el área total A [ha] de la cuenca del sistema de drenaje?;
15;AREAred;1;General info;15;number;¿Cuál es el tamaño del área neta Ared [ha impermeable] conectada a la EDAR en la cuenca del sistema?;¿Cuál es el tamaño del área neta Ared [ha impermeable] conectada a la EDAR en la cuenca del sistema?;
16;facilities[SQ001];1;General info;16;multiselect;¿Qué instalaciones opera su empresa de servicios públicos o comunidad de usuarios además de la EDAR? [La EDAR (sin depósitos de tormenta, sin alcantarillado)];¿Qué instalaciones opera su empresa de servicios públicos o comunidad de usuarios además de la EDAR? ;La EDAR (sin depósitos de tormenta, sin alcantarillado)
17;facilities[SQ002];1;General info;16;multiselect;¿Qué instalaciones opera su empresa de servicios públicos o comunidad de usuarios además de la EDAR? [Los Desbordamientos de Sistemas Unitarios (DSU) propiedad de los municipios];¿Qué instalaciones opera su empresa de servicios públicos o comunidad de usuarios además de la EDAR? ;Los Desbordamientos de Sistemas Unitarios (DSU) propiedad de los municipios
18;facilities[SQ003];1;General info;16;multiselect;¿Qué instalaciones opera su empresa de servicios públicos o comunidad de usuarios además de la EDAR? [[esta opción no es aplicable a España] Los Desbordamientos de Sistemas Unitarios (DSU) propiedad de organización o comunidades de usuarios];¿Qué instalaciones opera su empresa de servicios públicos o comunidad de usuarios además de la EDAR? ;[esta opción no es aplicable a España] Los Desbordamientos de Sistemas Unitarios (DSU) propiedad de organización o comunidades de usuarios
19;facilities[SQ004];1;General info;16;multiselect;¿Qué instalaciones opera su empresa de servicios públicos o comunidad de usuarios además de la EDAR? [Partes del sistema de alcantarillado propiedad de los municipios];¿Qué instalaciones opera su empresa de servicios públicos o comunidad de usuarios además de la EDAR? ;Partes del sistema de alcantarillado propiedad de los municipios
20;facilities[SQ005];1;General info;16;multiselect;¿Qué instalaciones opera su empresa de servicios públicos o comunidad de usuarios además de la EDAR? [[esta opción no es aplicable a España] Partes del sistema de alcantarillado propiedad de organización o comunidades de usuarios];¿Qué instalaciones opera su empresa de servicios públicos o comunidad de usuarios además de la EDAR? ;[esta opción no es aplicable a España] Partes del sistema de alcantarillado propiedad de organización o comunidades de usuarios
21;NCSOs;2;Sewer infrastructure elements;17;number;¿Cuántos DSU opera tu compañía o comunidad de usuarios?;¿Cuántos DSU opera tu compañía o comunidad de usuarios?;
22;CSOrehab;2;Sewer infrastructure elements;18;bool;¿Se ha realizado alguna rehabilitación de un punto o infraestructura de DSU en los últimos 5 años?;¿Se ha realizado alguna rehabilitación de un punto o infraestructura de DSU en los últimos 5 años?;Sí$No
23;CSOinvest;2;Sewer infrastructure elements;19;bool;¿Hay inversiones planeadas para la rehabilitación de puntos o infraestructura de DSU en los próximos 5 años?;¿Hay inversiones planeadas para la rehabilitación de puntos o infraestructura de DSU en los próximos 5 años?;Sí$No
24;Npumpstat;2;Sewer infrastructure elements;20;number;¿Cuántas estaciones de bombeo opera tu compañía o comunidad de usuarios?;¿Cuántas estaciones de bombeo opera tu compañía o comunidad de usuarios?;
