;Code;Group_ID;Group;Question_ID;QuestionType;Question;ShortQuestion;Answers
0;id;0;Metadata;0;;ID de la réponse;ID de la réponse;
1;submitdate;0;Metadata;1;;Date de soumission;Date de soumission;
2;lastpage;0;Metadata;2;;Dernière page;Dernière page;
3;startlanguage;0;Metadata;3;;Langue de départ;Langue de départ;
4;seed;0;Metadata;4;;Tête de série;Tête de série;
5;startdate;0;Metadata;5;;Date de lancement;Date de lancement;
6;datestamp;0;Metadata;6;;Date de la dernière action;Date de la dernière action;
7;ipaddr;0;Metadata;7;;Adresse IP;Adresse IP;
8;year;1;General info;8;number;En quelle année votre organisation a-t-elle été fondée ?;En quelle année votre organisation a-t-elle été fondée ?;
9;Nemployees;1;General info;9;number;Combien de personnes votre organisation emploie-t-elle aujourd'hui ?;Combien de personnes votre organisation emploie-t-elle aujourd'hui ?;
10;Ncommunities;1;General info;10;number;Combien de communes sont desservies ?;Combien de communes sont desservies ?;
11;management;1;General info;11;bool;Y a-t-il un directeur général au sein de votre service (public ou délégation) ?;Y a-t-il un directeur général au sein de votre service (public ou délégation) ?;Non$Oui
12;freeINDandDEC;1;General info;12;likert;Comment évaluez-vous les libertés opérationnelles de votre service vis-à-vis des politiques?;Comment évaluez-vous les libertés opérationnelles de votre service vis-à-vis des politiques?;
13;freeFINandGOV;1;General info;13;likert;Comment évaluez-vous l'autonomie de votre service vis-à-vis des politiques ?;Comment évaluez-vous l'autonomie de votre service vis-à-vis des politiques ?;
14;AREAtotal;1;General info;14;number;Quelle est la superficie totale A [ha] du bassin versant ?;Quelle est la superficie totale A [ha] du bassin versant ?;
15;AREAred;1;General info;15;number;Quelle est la surface active raccordée à la STEP dans le bassin versant de l'association ?;Quelle est la surface active raccordée à la STEP dans le bassin versant de l'association ?;
16;facilities[SQ001];1;General info;16;multiselect;Quelles sont les installations exploitées par votre services en plus de la station d'épuration ? [La station d'épuration seule (pas de bassins d'orage, pas de réseaux)];Quelles sont les installations exploitées par votre services en plus de la station d'épuration ? ;La station d'épuration seule (pas de bassins d'orage, pas de réseaux)
17;facilities[SQ002];1;General info;16;multiselect;Quelles sont les installations exploitées par votre services en plus de la station d'épuration ? [Les déversoirs d'orage (DO) appartenant aux communes];Quelles sont les installations exploitées par votre services en plus de la station d'épuration ? ;Les déversoirs d'orage (DO) appartenant aux communes
18;facilities[SQ003];1;General info;16;multiselect;Quelles sont les installations exploitées par votre services en plus de la station d'épuration ? [Les déversoirs d'orage (DO) appartenant à l'intercommunalité];Quelles sont les installations exploitées par votre services en plus de la station d'épuration ? ;Les déversoirs d'orage (DO) appartenant à l'intercommunalité
19;facilities[SQ004];1;General info;16;multiselect;Quelles sont les installations exploitées par votre services en plus de la station d'épuration ? [Les collecteurs appartenant aux communes];Quelles sont les installations exploitées par votre services en plus de la station d'épuration ? ;Les collecteurs appartenant aux communes
20;facilities[SQ005];1;General info;16;multiselect;Quelles sont les installations exploitées par votre services en plus de la station d'épuration ? [Les collecteurs appartenant à l'intercommunalité];Quelles sont les installations exploitées par votre services en plus de la station d'épuration ? ;Les collecteurs appartenant à l'intercommunalité
21;NCSOs;2;Sewer infrastructure elements;17;number;Combien de déversoirs d'orage (DO) votre service exploite-t-il ?;Combien de déversoirs d'orage (DO) votre service exploite-t-il ?;
22;CSOrehab;2;Sewer infrastructure elements;18;bool;Y a-t-il eu une réhabilitation d'un déversoir d'orage au cours des 5 dernières années ?;Y a-t-il eu une réhabilitation d'un déversoir d'orage au cours des 5 dernières années ?;Non$Oui
23;CSOinvest;2;Sewer infrastructure elements;19;bool;Des investissements sont-ils prévus pour la réhabilitation d'un déversoir d'orage (DO) au cours des 5 prochaines années ?;Des investissements sont-ils prévus pour la réhabilitation d'un déversoir d'orage (DO) au cours des 5 prochaines années ?;Non$Oui
24;Npumpstat;2;Sewer infrastructure elements;20;number;Combien de stations de pompage votre service exploite-t-il ?;Combien de stations de pompage votre service exploite-t-il ?;
25;MvarCSO[SQ001];3;Monitoring technology for CSOs;21;multiselect;Vous trouverez ci-dessous une sélection de variables et de quantités dérivées qui peuvent être mesurées sur les déversoirs d'orages (DO). Veuillez cocher les variables mesurées que votre association de gestion des eaux usées enregistre. [Flux vers la station d'épuration [l/s]];Vous trouverez ci-dessous une sélection de variables et de quantités dérivées qui peuvent être mesurées sur les déversoirs d'orages (DO). Veuillez cocher les variables mesurées que votre association de gestion des eaux usées enregistre. ;Flux vers la station d'épuration [l/s]
26;MvarCSO[SQ002];3;Monitoring technology for CSOs;21;multiselect;Vous trouverez ci-dessous une sélection de variables et de quantités dérivées qui peuvent être mesurées sur les déversoirs d'orages (DO). Veuillez cocher les variables mesurées que votre association de gestion des eaux usées enregistre. [Niveau d'eau dans le DO [m]];Vous trouverez ci-dessous une sélection de variables et de quantités dérivées qui peuvent être mesurées sur les déversoirs d'orages (DO). Veuillez cocher les variables mesurées que votre association de gestion des eaux usées enregistre. ;Niveau d'eau dans le DO [m]
27;MvarCSO[SQ003];3;Monitoring technology for CSOs;21;multiselect;Vous trouverez ci-dessous une sélection de variables et de quantités dérivées qui peuvent être mesurées sur les déversoirs d'orages (DO). Veuillez cocher les variables mesurées que votre association de gestion des eaux usées enregistre. [Durée du déversement];Vous trouverez ci-dessous une sélection de variables et de quantités dérivées qui peuvent être mesurées sur les déversoirs d'orages (DO). Veuillez cocher les variables mesurées que votre association de gestion des eaux usées enregistre. ;Durée du déversement
28;MvarCSO[SQ004];3;Monitoring technology for CSOs;21;multiselect;Vous trouverez ci-dessous une sélection de variables et de quantités dérivées qui peuvent être mesurées sur les déversoirs d'orages (DO). Veuillez cocher les variables mesurées que votre association de gestion des eaux usées enregistre. [Fréquence des déversements (déversements/an)];Vous trouverez ci-dessous une sélection de variables et de quantités dérivées qui peuvent être mesurées sur les déversoirs d'orages (DO). Veuillez cocher les variables mesurées que votre association de gestion des eaux usées enregistre. ;Fréquence des déversements (déversements/an)
29;MvarCSO[SQ005];3;Monitoring technology for CSOs;21;multiselect;Vous trouverez ci-dessous une sélection de variables et de quantités dérivées qui peuvent être mesurées sur les déversoirs d'orages (DO). Veuillez cocher les variables mesurées que votre association de gestion des eaux usées enregistre. [Volume de débordement];Vous trouverez ci-dessous une sélection de variables et de quantités dérivées qui peuvent être mesurées sur les déversoirs d'orages (DO). Veuillez cocher les variables mesurées que votre association de gestion des eaux usées enregistre. ;Volume de débordement
30;MvarCSO[other];3;Monitoring technology for CSOs;21;multiselect_text;Vous trouverez ci-dessous une sélection de variables et de quantités dérivées qui peuvent être mesurées sur les déversoirs d'orages (DO). Veuillez cocher les variables mesurées que votre association de gestion des eaux usées enregistre. [Autre];Vous trouverez ci-dessous une sélection de variables et de quantités dérivées qui peuvent être mesurées sur les déversoirs d'orages (DO). Veuillez cocher les variables mesurées que votre association de gestion des eaux usées enregistre. ;Autre
31;NinstrumCSO;3;Monitoring technology for CSOs;22;number;La question suivante concerne la surveillance des débordements d'égouts unitaires. Par instruments de mesure, nous entendons, par exemple:  • les détecteurs de débordement  • Capteurs pour mesurer la profondeur, le niveau ou la qualité de l'eau, etc.  Combien de vos déversoirs d'orage sont équipés d'au moins un capteur de ce type ?;La question suivante concerne la surveillance des débordements d'égouts unitaires. Par instruments de mesure, nous entendons, par exemple:  • les détecteurs de débordement  • Capteurs pour mesurer la profondeur, le niveau ou la qualité de l'eau, etc.  Combien de vos déversoirs d'orage sont équipés d'au moins un capteur de ce type ?;
32;Npluviom;3;Monitoring technology for CSOs;23;number;Combien de pluviomètres permanents votre association de gestion des eaux usées exploite-t-elle ?;Combien de pluviomètres permanents votre association de gestion des eaux usées exploite-t-elle ?;
33;WLmeas[SQ001];4;CSO data transmission and management;24;multiselect;Comment les données relatives au niveau d'eau/des déversements sont-elles transmises par les appareils de mesure? [À propos des fibres optiques];Comment les données relatives au niveau d'eau/des déversements sont-elles transmises par les appareils de mesure? ;À propos des fibres optiques
34;WLmeas[SQ002];4;CSO data transmission and management;24;multiselect;Comment les données relatives au niveau d'eau/des déversements sont-elles transmises par les appareils de mesure? [Via une ligne fixe/un câble en cuivre/une télémétrie par câble];Comment les données relatives au niveau d'eau/des déversements sont-elles transmises par les appareils de mesure? ;Via une ligne fixe/un câble en cuivre/une télémétrie par câble
35;WLmeas[SQ003];4;CSO data transmission and management;24;multiselect;Comment les données relatives au niveau d'eau/des déversements sont-elles transmises par les appareils de mesure? [Sans fil via GSM (réseau mobile)];Comment les données relatives au niveau d'eau/des déversements sont-elles transmises par les appareils de mesure? ;Sans fil via GSM (réseau mobile)
36;WLmeas[SQ004];4;CSO data transmission and management;24;multiselect;Comment les données relatives au niveau d'eau/des déversements sont-elles transmises par les appareils de mesure? [Sans fil via LoRaWAN (radio à faible consommation d'énergie)];Comment les données relatives au niveau d'eau/des déversements sont-elles transmises par les appareils de mesure? ;Sans fil via LoRaWAN (radio à faible consommation d'énergie)
37;WLmeas[SQ005];4;CSO data transmission and management;24;multiselect;Comment les données relatives au niveau d'eau/des déversements sont-elles transmises par les appareils de mesure? [Les données de mesure sont enregistrées sur place, lues manuellement et peuvent être stockées sur un support physique (par exemple, une clé USB) et emportées avec soi];Comment les données relatives au niveau d'eau/des déversements sont-elles transmises par les appareils de mesure? ;Les données de mesure sont enregistrées sur place, lues manuellement et peuvent être stockées sur un support physique (par exemple, une clé USB) et emportées avec soi
38;WLmeas[other];4;CSO data transmission and management;24;multiselect_text;Comment les données relatives au niveau d'eau/des déversements sont-elles transmises par les appareils de mesure? [Autre];Comment les données relatives au niveau d'eau/des déversements sont-elles transmises par les appareils de mesure? ;Autre
39;WLplants;4;CSO data transmission and management;25;singleselect;Dans combien de stations les données relatives au niveau d'eau/des déversements sont-elles transmises directement au système de contrôle du processus de la station d'épuration?;Dans combien de stations les données relatives au niveau d'eau/des déversements sont-elles transmises directement au système de contrôle du processus de la station d'épuration?;De tous$Aucun$De la plupart$De quelques
40;WLassess;4;CSO data transmission and management;26;singleselect;À quelle fréquence les données relatives au niveau d'eau/des déversements sont-elles évaluées aux fins de l'évaluation des performances ?;À quelle fréquence les données relatives au niveau d'eau/des déversements sont-elles évaluées aux fins de l'évaluation des performances ?;En temps quasi réel$Chaque année$Jamais$Plusieurs fois par an$Mensuel$Quotidien$L'évaluation est réalisée de manière irrégulière, par exemple lors de la planification ou de la révision du plan d'assainissement intégré
41;WLdataQlty;4;CSO data transmission and management;27;bool;La qualité des données de surveillance du niveau de l'eau dans notre organisation est bonne ?;La qualité des données de surveillance du niveau de l'eau dans notre organisation est bonne ?;D'accord$Pas d'accord
42;WLdataQLTYbad[SQ001];4;CSO data transmission and management;28;multiselect;À notre avis, la cause de la mauvaise qualité des données réside dans [Les instruments de mesure];À notre avis, la cause de la mauvaise qualité des données réside dans ;Les instruments de mesure
43;WLdataQLTYbad[SQ002];4;CSO data transmission and management;28;multiselect;À notre avis, la cause de la mauvaise qualité des données réside dans [La transmission des données];À notre avis, la cause de la mauvaise qualité des données réside dans ;La transmission des données
44;WLdataQLTYbad[SQ003];4;CSO data transmission and management;28;multiselect;À notre avis, la cause de la mauvaise qualité des données réside dans [Les conditions hydrauliques sur le site de surveillance];À notre avis, la cause de la mauvaise qualité des données réside dans ;Les conditions hydrauliques sur le site de surveillance
45;WLdataQLTYbad[other];4;CSO data transmission and management;28;multiselect_text;À notre avis, la cause de la mauvaise qualité des données réside dans [Autre];À notre avis, la cause de la mauvaise qualité des données réside dans ;Autre
46;WQproblm2[SQ001];4;CSO data transmission and management;29;multiselect;Nous rencontrons les problèmes suivants : [Mesures manquantes];Nous rencontrons les problèmes suivants : ;Mesures manquantes
47;WQproblm2[SQ002];4;CSO data transmission and management;29;multiselect;Nous rencontrons les problèmes suivants : [Dérive dans le signal de mesure];Nous rencontrons les problèmes suivants : ;Dérive dans le signal de mesure
48;WQproblm2[SQ003];4;CSO data transmission and management;29;multiselect;Nous rencontrons les problèmes suivants : [Bruit sur le signal de mesure];Nous rencontrons les problèmes suivants : ;Bruit sur le signal de mesure
49;WQproblm2[SQ004];4;CSO data transmission and management;29;multiselect;Nous rencontrons les problèmes suivants : [Nous ne sommes pas certains de l'exactitude des mesures.];Nous rencontrons les problèmes suivants : ;Nous ne sommes pas certains de l'exactitude des mesures.
50;WQproblm2[other];4;CSO data transmission and management;29;multiselect_text;Nous rencontrons les problèmes suivants : [Autre];Nous rencontrons les problèmes suivants : ;Autre
51;ORGshare[SQ001];4;CSO data transmission and management;30;multiselect;Notre organisation partage les données sur le niveau de l'eau avec des tiers ... [Non, ce n'est pas le cas];Notre organisation partage les données sur le niveau de l'eau avec des tiers ... ;Non, ce n'est pas le cas
52;ORGshare[SQ002];4;CSO data transmission and management;30;multiselect;Notre organisation partage les données sur le niveau de l'eau avec des tiers ... [Oui, avec un bureau d'études pour évaluer la qualité des données];Notre organisation partage les données sur le niveau de l'eau avec des tiers ... ;Oui, avec un bureau d'études pour évaluer la qualité des données
53;ORGshare[SQ003];4;CSO data transmission and management;30;multiselect;Notre organisation partage les données sur le niveau de l'eau avec des tiers ... [Oui, pour vérifier l'exactitude de nos modèles de simulation];Notre organisation partage les données sur le niveau de l'eau avec des tiers ... ;Oui, pour vérifier l'exactitude de nos modèles de simulation
54;ORGshare[SQ004];4;CSO data transmission and management;30;multiselect;Notre organisation partage les données sur le niveau de l'eau avec des tiers ... [Oui, avec les régulateurs locaux ou régionaux pour l'évaluation de la conformité];Notre organisation partage les données sur le niveau de l'eau avec des tiers ... ;Oui, avec les régulateurs locaux ou régionaux pour l'évaluation de la conformité
