;Code;Group_ID;Group;Question_ID;QuestionType;Question;ShortQuestion;Answers
0;id;0;Metadata;0;;Respons-ID;Respons-ID;
1;submitdate;0;Metadata;1;;Datum verzonden;Datum verzonden;
2;lastpage;0;Metadata;2;;Laatste pagina;Laatste pagina;
3;startlanguage;0;Metadata;3;;Begin taal;Begin taal;
4;seed;0;Metadata;4;;Plaats;Plaats;
5;startdate;0;Metadata;5;;Startdatum;Startdatum;
6;datestamp;0;Metadata;6;;Datum laatste actie;Datum laatste actie;
7;ipaddr;0;Metadata;7;;IP-adres;IP-adres;
8;year;1;General info;8;number;In welk jaar is uw organisatie opgericht?;In welk jaar is uw organisatie opgericht?;
9;Nemployees;1;General info;9;number;Hoeveel mensen heeft uw organisatie vandaag in dienst?;Hoeveel mensen heeft uw organisatie vandaag in dienst?;
10;Ncommunities;1;General info;10;number;Hoeveel gemeenten bedient u?;Hoeveel gemeenten bedient u?;
11;management;1;General info;11;bool;Is er een directie in uw organisatie?;Is er een directie in uw organisatie?;Ja$Nee
12;freeINDandDEC;1;General info;12;likert;Hoe beoordeelt u de organisatorische vrijheden van uw organisatie ten opzichte van de gemeenten?;Hoe beoordeelt u de organisatorische vrijheden van uw organisatie ten opzichte van de gemeenten?;
13;freeFINandGOV;1;General info;13;likert;Hoe beoordeelt u het niveau van beleidsautonomie dat uw organisatie heeft ten opzichte van de gemeenten?    ;Hoe beoordeelt u het niveau van beleidsautonomie dat uw organisatie heeft ten opzichte van de gemeenten?    ;
14;AREAtotal;1;General info;14;number;Wat is de totale oppervlakte A [ha] van het beheerde gebied?;Wat is de totale oppervlakte A [ha] van het beheerde gebied?;
15;AREAred;1;General info;15;number;Wat is de grootte van het afvoerende verhard oppervlak in het verzorgingsgebied van de RWZI?;Wat is de grootte van het afvoerende verhard oppervlak in het verzorgingsgebied van de RWZI?;
16;facilities[SQ001];1;General info;16;multiselect;Welke faciliteiten exploiteert uw bedrijf anders dan de RWZI? [De RWZI (geen bergingsbassins, geen riolering)];Welke faciliteiten exploiteert uw bedrijf anders dan de RWZI? ;De RWZI (geen bergingsbassins, geen riolering)
