id;submitdate;lastpage;startlanguage;seed;startdate;datestamp;year;Nemployees;Ncommunities;management;freeINDandDEC;freeFINandGOV;AREAtotal;AREAred;facilities[SQ001];facilities[SQ002];facilities[SQ003];facilities[SQ004];facilities[SQ005];NCSOs;CSOrehab;CSOinvest;Npumpstat;MvarCSO[SQ001];MvarCSO[SQ002];MvarCSO[SQ003];MvarCSO[SQ004];MvarCSO[SQ005];MvarCSO[other];NinstrumCSO;Npluviom;WLmeas[SQ001];WLmeas[SQ002];WLmeas[SQ003];WLmeas[SQ004];WLmeas[SQ005];WLmeas[other];WLplants;WLassess;WLdataQlty;WLdataQLTYbad[SQ001];WLdataQLTYbad[SQ002];WLdataQLTYbad[SQ003];WLdataQLTYbad[other];WQproblm2[SQ001];WQproblm2[SQ002];WQproblm2[SQ003];WQproblm2[SQ004];WQproblm2[other];ORGshare[SQ001];ORGshare[SQ002];ORGshare[SQ003];ORGshare[SQ004];ORGshare[other];MTavail;METex[SQ001];METex[SQ002];METex[SQ003];METex[SQ004];METex[SQ005];METex[SQ006];METex[SQ007];METex[SQ008];METex[SQ009];METex[other];METobst[SQ001];METobst[SQ002];METobst[SQ003];METobst[SQ004];METobst[SQ005];METobst[SQ006];METobst[SQ007];METobst[SQ008];METobst[other];MEASplants[SQ001];MEASplants[SQ002];MEASplants[SQ003];MEASplants[SQ004];MEASplants[SQ005];MEASplants[SQ006];MEASplants[SQ007];MEASplants[SQ008];MEASplants[SQ009];MEASplants[other];MEunc;MEunc[comment];IntDrainPlan;IDPyear;IDPrev;ORGcoopUD;EMPevent;MEAStp;woWWTP;woWWTP[other];SSvision;SSvision[comment];CSOpublic;CSOpublic[comment];CSOlaw;impREG;TSguide;REGapply;REGenf;CSOreg[SQ001];CSOreg[SQ002];CSOreg[SQ003];CSOreg[SQ004];CSOreg[other];CSOmonit[1];CSOmonit[2];CSOmonit[3];CSOmonit[4];CSOmonit[5];CSOmonit[6];CSOmonit[7];CSOmonit[8];CSOmonit[9];CSOmonit[10];CSOmonit[11];CSOmonit[12];CSOownprop;UDfeed;COUDapply[SQ001];COUDapply[SQ002];interviewtime;groupTime3815;yearTime;NemployeesTime;NcommunitiesTime;managementTime;freeINDandDECTime;freeFINandGOVTime;AREAtotalTime;AREAredTime;facilitiesTime;groupTime3816;NCSOsTime;CSOrehabTime;CSOinvestTime;NpumpstatTime;groupTime3817;MvarCSOTime;NinstrumCSOTime;NpluviomTime;groupTime3818;WLmeasTime;WLplantsTime;WLassessTime;WLdataQltyTime;WLdataQLTYbadTime;WQproblm2Time;ORGshareTime;groupTime3821;MTavailTime;METexTime;METobstTime;MEASplantsTime;MEuncTime;groupTime3822;IntDrainPlanTime;IDPyearTime;IDPrevTime;ORGcoopUDTime;groupTime3823;EMPeventTime;groupTime3824;MEAStpTime;woWWTPTime;SSvisionTime;CSOpublicTime;groupTime3825;CSOlawTime;impREGTime;TSguideTime;REGapplyTime;REGenfTime;CSOregTime;groupTime3826;CSOmonitTime;CSOownpropTime;UDfeedTime;groupTime3827;CIsurveyTime;COUDapplyTime;is_complete;ip_region;ip_country
393;2024-07-08 09:23:05;11.0;fr;1883974342;2024-07-08 09:08:17;2024-07-08 09:23:05;1950.0;140.0;12.0;Yes;4.0;2.0;;;Yes;Yes;No;Yes;No;60.0;No;Yes;6.0;No;No;No;No;No;;0.0;1.0;Yes;No;No;No;No;;From some;The evaluation is carried out irregularly, e.g. during the planning or revision of the integrated drainage plan;Enig;;;;;;;;;;No;No;No;Yes;;No;Yes;No;No;Yes;No;Yes;No;No;Yes;;Yes;Yes;No;No;No;No;No;No;;;;;;;;;;;;;;Yes;2011;Yes;5.0;Yes;Yes, both for the maintenance of the measurement technology and for the evaluation of the measurement data;Yes, it makes sense to acquire all urban drainage assets;;I am in favor of this vision and am generally open to the use of such modern technologies for the facilities of our wastewater association;;I reject this vision because I think data from wastewater infrastructures should not be openly available;;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;;;;;;;;;;;;;;;;No;No;892.28;326.35;;;;;;;;;;46.39;;;;;62.05;;;;75.36;;;;;;;;101.11;;;;;;29.83;;;;;13.56;;123.36;;;;;42.66;;;;;;;58.87;;;;12.74;;;complete;Vaud;CH
473;2024-07-11 06:53:52;11.0;de;610271328;2024-07-11 06:24:33;2024-07-11 06:53:52;1968.0;2.0;2.0;Yes;5.0;4.0;;;Yes;Yes;Yes;Yes;Yes;5.0;No;No;7.0;No;Yes;Yes;Yes;No;;3.0;0.0;No;No;Yes;No;No;;From some;Once a month;Enig;;;;;;;;;;No;Yes;No;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;No, I don't think this is needed;;Yes;2019;No;5.0;Yes;No, neither of those;Yes, it makes sense to take over all stormwater systems and the regionally important sewerage system;;;;I am in favor of this vision, because I generally fin that transparency improves effectiveness and aids innovation;;Yes;Yes;;Yes;;Yes;No;No;No;;Standards and technical guidelines for equipping the systems with measurement technology (e.g. water level measuring device in the CSO);Environmental protection targets (e.g. measured values of water level in the CSO, flow rate in the sewer);Shifting competence from the municipality to the association;;;;;;;;;;;;No;No;1763.8;220.16;;;;;;;;;;127.66;;;;;228.63;;;;206.74;;;;;;;;66.49;;;;;;60.82;;;;;31.2;;299.71;;;;;182.49;;;;;;;258.33;;;;81.57;;;complete;Schaffhausen;CH
472;2024-07-11 07:02:54;11.0;de;1882130270;2024-07-11 06:21:14;2024-07-11 07:02:53;1978.0;2.0;4.0;No;5.0;4.0;1965.0;;Yes;Yes;Yes;Yes;Yes;32.0;Yes;Yes;22.0;Yes;Yes;Yes;Yes;Yes;Dies wird in allen Regenbecken gemessen. Überläufe im Kanalnetz werden nicht erfasst.;9.0;1.0;Yes;Yes;No;No;No;;Of most;Several times a year;;;;;;;;;;;No;Yes;Yes;No;;No;Yes;No;No;Yes;No;Yes;No;No;No;;No;Yes;No;No;No;No;No;No;fehlende Messtechnik;;;;;;;;;;;Yes, I do uncertainty calculations on my data;Wir versuchen die Messdaten sstetig zu plausibilisieren;Yes;2024;No;5.0;Yes;No, neither of those;Yes, it makes sense to acquire all urban drainage assets;;I support this vision on the following condition:;Da wir die Messtechnik selber installieren und die dafür nötigen Übertragungsmeden auch, ist mir eine Drtaht, Glas gebundene einbindung zuverlässiger. Auch kann so die verifizierung einfacher erfolgen.;I reject this vision because I think data from wastewater infrastructures should not be openly available;Es gibt kein Personal die das unterhalten und aufbauen können, wo auch die nötigen Zusammenhänge verstehen;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;Dynamischer Betrieb über PLS;Joint events and information campaigns;Shifting competence from the municipality to the association;Own suggestion;;;;;;;;;;Die Komunen müssen Infrastruktur gemeindam nutzen und freigeben für Datenübermittlung;Das ganze Thema ist sehr sehr individuell auf das Einzugsgebiet der ARA zu betrachten;Yes;No;2502.61;560.99;;;;;;;;;;245.75;;;;;216.21;;;;150.7;;;;;;;;438.7;;;;;;56.94;;;;;19.78;;360.68;;;;;87.69;;;;;;;276.66;;;;88.51;;;complete;Saint Gallen;CH
137;2024-07-02 14:45:16;11.0;de;498667722;2024-07-02 14:31:03;2024-07-02 14:45:16;1967.0;23.0;17.0;Yes;3.0;4.0;10760.0;321.0;No;Yes;Yes;Yes;Yes;48.0;Yes;Yes;95.0;No;Yes;Yes;Yes;Yes;;24.0;7.0;Yes;Yes;Yes;No;No;;Of most;Annually;Enig;;;;;;;;;;Yes;No;No;No;;Yes;;;;;;;;;;;;;;;;;;;;Yes;No;No;Yes;Yes;No;No;No;No;;No, but I would like to know more or to do this in future;;;;;5.0;Yes;Yes, for the evaluation of the measurement data;Yes, it makes sense to take over all rainwater systems and the entire sewerage system in the association's territory;;I am in favor of this vision and am generally open to the use of such modern technologies for the facilities of our wastewater association;;I reject this vision because I think data from wastewater infrastructures should not be openly available;;No;No;Yes;Yes;Yes;Yes;No;No;Yes;;Shifting competence from the municipality to the association;Better products and services from metrology companies;;;;;;;;;;;;;No;No;857.41;265.12;;;;;;;;;;62.13;;;;;108.57;;;;91.85;;;;;;;;70.65;;;;;;8.79;;;;;9.08;;81.01;;;;;73.79;;;;;;;66.35;;;;20.07;;;complete;Saint Gallen;CH
471;2024-07-11 06:17:48;11.0;fr;565037885;2024-07-11 05:53:39;2024-07-11 06:17:48;1979.0;1.0;1.0;;3.0;3.0;;;No;Yes;No;Yes;No;1.0;No;Yes;1.0;No;No;No;Yes;No;;1.0;0.0;No;No;Yes;No;No;;Of all;The evaluation is carried out irregularly, e.g. during the planning or revision of the integrated drainage plan;Enig;;;;;;;;;;Yes;No;No;No;;Yes;;;;;;;;;;;;;;;;;;;;Yes;Yes;No;Yes;No;No;No;No;Yes;;No, but I would like to know more or to do this in future;;;;;4.0;Yes;Yes, for the maintenance of the measurement technology;Yes, it makes sense to take over all rainwater systems and the entire sewerage system in the association's territory;;I am in favor of this vision and am generally open to the use of such modern technologies for the facilities of our wastewater association;;I am in favor of this vision, because I generally fin that transparency improves effectiveness and aids innovation;;;;Yes;Yes;;Yes;Yes;No;No;;Environmental protection targets (e.g. measured values of water level in the CSO, flow rate in the sewer);Standards and technical guidelines for equipping the systems with measurement technology (e.g. water level measuring device in the CSO);Joint events and information campaigns;;;;;;;;;;;;No;No;1446.6;189.8;;;;;;;;;;47.63;;;;;96.23;;;;152.35;;;;;;;;184.74;;;;;;53.15;;;;;41.6;;219.81;;;;;101.99;;;;;;;330.87;;;;28.43;;;complete;Zurich;CH
470;2024-07-11 06:28:28;11.0;de;1680484851;2024-07-11 05:39:37;2024-07-11 06:28:27;1985.0;3.0;5.0;Yes;4.0;3.0;4076.0;;No;Yes;No;No;Yes;5.0;No;Yes;4.0;No;Yes;Yes;Yes;No;;5.0;1.0;No;Yes;Yes;No;No;;Of most;Daily;Enig;;;;;;;;;;No;Yes;No;No;;Yes;;;;;;;;;;;;;;;;;;;;No;No;No;Yes;Yes;Yes;No;No;No;;No, I don't think this is needed;;Yes;;No;;Yes;Yes, for the evaluation of the measurement data;Yes, it makes sense to take over all stormwater systems and the regionally important sewerage system;;I am in favor of this vision and am generally open to the use of such modern technologies for the facilities of our wastewater association;;I am in favor of this vision, because I generally fin that transparency improves effectiveness and aids innovation;;;;;;;Yes;No;No;No;;Customized services of engineering and design offices;Joint events and information campaigns;Standards and technical guidelines for equipping the systems with measurement technology (e.g. water level measuring device in the CSO);;;;;;;;;;;;No;No;2934.07;1662.72;;;;;;;;;;154.42;;;;;104.77;;;;263.33;;;;;;;;138.57;;;;;;74.73;;;;;40.13;;187.75;;;;;63.02;;;;;;;194.65;;;;49.98;;;complete;Bern;CH
468;2024-07-11 05:37:29;11.0;de;1974994807;2024-07-11 05:13:51;2024-07-11 05:37:29;1974.0;3.0;8.0;Yes;4.0;4.0;4037.36;;No;Yes;No;No;Yes;8.0;No;Yes;5.0;Yes;Yes;Yes;Yes;No;;8.0;0.0;No;No;Yes;No;No;;Of most;In near real-time;Enig;;;;;;;;;;No;Yes;No;No;AFU;Yes;;;;;;;;;;;;;;;;;;;;Yes;No;No;Yes;No;No;Yes;No;No;;No, I don't think this is needed;;No;;;5.0;Yes;Yes, for the evaluation of the measurement data;No;;I am in favor of this vision and am generally open to the use of such modern technologies for the facilities of our wastewater association;;I support this vision on the following condition:;;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;;Standards and technical guidelines for equipping the systems with measurement technology (e.g. water level measuring device in the CSO);Environmental protection targets (e.g. measured values of water level in the CSO, flow rate in the sewer);Better products and services from metrology companies;;;;;;;;;;;;No;No;1412.59;486.97;;;;;;;;;;108.96;;;;;119.93;;;;113.04;;;;;;;;73.19;;;;;;31.93;;;;;37.65;;167.82;;;;;56.38;;;;;;;151.25;;;;65.47;;;complete;Bern;CH
466;2024-07-10 14:35:07;11.0;de;2096325450;2024-07-10 14:18:17;2024-07-10 14:35:07;1962.0;6.0;2.0;;4.0;5.0;;;No;Yes;No;No;No;10.0;Yes;Yes;35.0;No;Yes;Yes;Yes;No;;5.0;1.0;No;No;Yes;No;No;;From some;The evaluation is carried out irregularly, e.g. during the planning or revision of the integrated drainage plan;Enig;;;;;;;;;;No;Yes;Yes;No;;Yes;;;;;;;;;;;;;;;;;;;;Yes;No;No;Yes;No;No;Yes;No;Yes;;No, but I would like to know more or to do this in future;;Yes;;Yes;5.0;Yes;Yes, for the maintenance of the measurement technology;;;I am in favor of this vision and am generally open to the use of such modern technologies for the facilities of our wastewater association;;I reject this vision because I think data from wastewater infrastructures should not be openly available;;;;;;;No;Yes;Yes;No;;;;;;;;;;;;;;;;No;No;1015.47;276.21;;;;;;;;;;35.89;;;;;69.57;;;;122.31;;;;;;;;92.15;;;;;;51.67;;;;;26.75;;189.93;;;;;70.58;;;;;;;51.48;;;;28.93;;;complete;Zurich;CH
133;2024-07-23 07:14:02;11.0;de;545930197;2024-07-02 14:12:35;2024-07-23 07:14:02;1975.0;67.0;18.0;Yes;4.0;5.0;1008.3;593.2;No;No;Yes;No;Yes;37.0;;;0.0;Yes;Yes;Yes;Yes;Yes;;7.0;0.0;No;No;Yes;No;No;;Of most;Annually;Enig;;;;;;;;;;Yes;No;No;No;;No;No;No;No;Yes;Yes;No;No;No;Yes;;Yes;Yes;No;No;No;No;No;No;Übermittlung von Daten;;;;;;;;;;;No, but I would like to know more or to do this in future;;Yes;2018;No;5.0;Yes;No, neither of those;Yes, it makes sense to take over all rainwater systems and the entire sewerage system in the association's territory;;I am in favor of this vision and am generally open to the use of such modern technologies for the facilities of our wastewater association;;I am in favor of this vision, because I generally fin that transparency improves effectiveness and aids innovation;;;;;;;Yes;No;No;No;;Better products and services from metrology companies;Customized services of engineering and design offices;Standards and technical guidelines for equipping the systems with measurement technology (e.g. water level measuring device in the CSO);;;;;;;;;;;Das AIB als Amt beschäftig 68 MA und ist für 78 Gemeinden im Kanton BL zuständig (4 Einzugsgebiete). Aus Synergiegründen ist es nicht möglich die Anz MA nur für das EZG E1 anzugeben. Alle weitere Angaben sind auf das EZG Ergolz 1 abgestimmt und aus dem GEP EZG Ergolz 1 entnommen (CSO, Fläche).;Yes;No;7255.11;2736.89;;;;;;;;;;580.05;;;;;822.07;;;;687.85;;;;;;;;494.36;;;;;;169.0;;;;;174.87;;429.09;;;;;293.74;;;;;;;743.27;;;;123.92;;;complete;Basel-Landschaft;CH
145;2024-07-03 04:53:24;11.0;de;1509800725;2024-07-03 04:37:49;2024-07-03 04:53:24;0.0;0.6;1.0;;;;2627.0;;No;No;No;No;Yes;4.0;No;Yes;2.0;No;Yes;No;No;No;;2.0;0.0;No;No;Yes;No;No;;;;;;;;;;;;;;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes;No, neither of those;No;;I am in favor of this vision and am generally open to the use of such modern technologies for the facilities of our wastewater association;;I reject this vision because I think data from wastewater infrastructures should not be openly available;;No;No;Yes;Yes;;Yes;No;No;No;;Standards and technical guidelines for equipping the systems with measurement technology (e.g. water level measuring device in the CSO);Environmental protection targets (e.g. measured values of water level in the CSO, flow rate in the sewer);Education and training opportunities for measurement technology and measurement data management;Participation in the running costs of the maintenance of the measuring instruments and the evaluation of the measurement data;One-off subsidy for metrology equipment;Joint events and information campaigns;Performance indicators;Customized services of engineering and design offices;Better products and services from metrology companies;Increased supervisory role of the cantons;Shifting competence from the municipality to the association;Own suggestion;;;No;No;937.71;108.49;;;;;;;;;;89.69;;;;;75.01;;;;63.61;;;;;;;;53.01;;;;;;15.95;;;;;13.11;;179.36;;;;;81.97;;;;;;;228.45;;;;29.06;;;complete;Lucerne;CH
