is_complete;ip_country;ipaddr
complete;BE;1
complete;CH;126
complete;CZ;0
complete;DE;1
complete;DK;4
complete;ES;4
complete;FR;10
complete;GB;0
complete;IT;0
complete;LI;0
complete;LT;0
complete;LU;1
complete;NL;0
complete;RO;0
complete;SK;0
partly;BE;1
partly;CH;53
partly;CZ;0
partly;DE;0
partly;DK;0
partly;ES;2
partly;FR;9
partly;GB;0
partly;IT;0
partly;LI;0
partly;LT;0
partly;LU;0
partly;NL;1
partly;RO;1
partly;SK;0
empty;BE;4
empty;CH;195
empty;CZ;1
empty;DE;17
empty;DK;8
empty;ES;12
empty;FR;28
empty;GB;7
empty;IT;2
empty;LI;2
empty;LT;2
empty;LU;0
empty;NL;7
empty;RO;0
empty;SK;1
